sofifa_id,player_url,short_name,long_name,dob,height_cm,nationality,club,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,loaned_from,joined,contract_valid_until,nation_position,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
158023,https://sofifa.com/player/158023/lionel-messi/20/159586,L. Messi,Lionel Andrés Messi Cuccittini,24-06-1987,170,Argentina,FC Barcelona,94,94,95500000,565000,"RW, CF, ST",Left,Medium/Low,Messi,Yes,195800000,"#Dribbler, #Distance Shooter, #Crosser, #FK Specialist, #Acrobat, #Clinical Finisher, #Complete Forward",RW,,01-07-2004,2021,,87,92,92,96,39,66,,,,,,,"Beat Offside Trap, Argues with Officials, Early Crosser, Finesse Shot, Speed Dribbler (CPU AI Only), 1-on-1 Rush, Giant Throw-in, Outside Foot Shot",88,95,70,92,88,97,93,94,92,96,91,84,93,95,95,86,68,75,68,94,48,40,94,94,75,96,33,37,26,6,11,15,14,8,89+2,89+2,89+2,93+2,93+2,93+2,93+2,93+2,93+2,93+2,93+2,92+2,87+2,87+2,87+2,92+2,68+2,66+2,66+2,66+2,68+2,63+2,52+2,52+2,52+2,63+2
20801,https://sofifa.com/player/20801/c-ronaldo-dos-santos-aveiro/20/159586,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,05-02-1985,187,Portugal,Juventus,93,93,58500000,405000,"ST, LW",Right,High/Low,C. Ronaldo,Yes,96500000,"#Speedster, #Dribbler, #Distance Shooter, #Acrobat, #Clinical Finisher, #Complete Forward",LW,,10-07-2018,2022,LS,90,93,82,89,35,78,,,,,,,"Long Throw-in, Selfish, Argues with Officials, Early Crosser, Speed Dribbler (CPU AI Only), Skilled Dribbling",84,94,89,83,87,89,81,76,77,92,89,91,87,96,71,95,95,85,78,93,63,29,95,82,85,95,28,32,24,7,11,15,14,11,91+3,91+3,91+3,89+3,90+3,90+3,90+3,89+3,88+3,88+3,88+3,88+3,81+3,81+3,81+3,88+3,65+3,61+3,61+3,61+3,65+3,61+3,53+3,53+3,53+3,61+3
190871,https://sofifa.com/player/190871/neymar-da-silva-santos-jr/20/159586,Neymar Jr,Neymar da Silva Santos Junior,05-02-1992,175,Brazil,Paris Saint-Germain,92,92,105500000,290000,"LW, CAM",Right,High/Medium,Neymar,Yes,195200000,"#Speedster, #Dribbler, #Playmaker  , #Crosser, #FK Specialist, #Acrobat, #Clinical Finisher, #Complete Midfielder, #Complete Forward",CAM,,03-08-2017,2022,LW,91,85,87,95,32,58,,,,,,,"Power Free-Kick, Injury Free, Selfish, Early Crosser, Speed Dribbler (CPU AI Only), Crowd Favourite",87,87,62,87,87,96,88,87,81,95,94,89,96,92,84,80,61,81,49,84,51,36,87,90,90,94,27,26,29,9,9,15,15,11,84+3,84+3,84+3,90+3,89+3,89+3,89+3,90+3,90+3,90+3,90+3,89+3,82+3,82+3,82+3,89+3,66+3,61+3,61+3,61+3,66+3,61+3,46+3,46+3,46+3,61+3
200389,https://sofifa.com/player/200389/jan-oblak/20/159586,J. Oblak,Jan Oblak,07-01-1993,188,Slovenia,Atlético Madrid,91,93,77500000,125000,GK,Right,Medium/Medium,Normal,Yes,164700000,,GK,,16-07-2014,2023,GK,,,,,,,87,92,78,89,52,90,"Flair, Acrobatic Clearance",13,11,15,43,13,12,13,14,40,30,43,60,67,88,49,59,78,41,78,12,34,19,11,65,11,68,27,12,18,87,92,78,90,89,,,,,,,,,,,,,,,,,,,,,,,,,,
183277,https://sofifa.com/player/183277/eden-hazard/20/159586,E. Hazard,Eden Hazard,07-01-1991,175,Belgium,Real Madrid,91,91,90000000,470000,"LW, CF",Right,High/Medium,Normal,Yes,184500000,"#Speedster, #Dribbler, #Acrobat",LW,,01-07-2019,2024,LF,91,83,86,94,35,66,,,,,,,"Beat Offside Trap, Selfish, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite",81,84,61,89,83,95,83,79,83,94,94,88,95,90,94,82,56,84,63,80,54,41,87,89,88,91,34,27,22,11,12,6,8,8,83+3,83+3,83+3,89+3,88+3,88+3,88+3,89+3,89+3,89+3,89+3,89+3,83+3,83+3,83+3,89+3,66+3,63+3,63+3,63+3,66+3,61+3,49+3,49+3,49+3,61+3
192985,https://sofifa.com/player/192985/kevin-de-bruyne/20/159586,K. De Bruyne,Kevin De Bruyne,28-06-1991,181,Belgium,Manchester City,91,91,90000000,370000,"CAM, CM",Right,High/High,Normal,Yes,166500000,"#Dribbler, #Playmaker  , #Engine, #Distance Shooter, #Crosser, #Complete Midfielder",RCM,,30-08-2015,2023,RCM,76,86,92,86,61,78,,,,,,,"Power Free-Kick, Avoids Using Weaker Foot, Dives Into Tackles (CPU AI Only), Leadership, Argues with Officials, Finesse Shot",93,82,55,92,82,86,85,83,91,91,77,76,78,91,76,91,63,89,74,90,76,61,88,94,79,91,68,58,51,15,13,5,10,13,82+3,82+3,82+3,87+3,87+3,87+3,87+3,87+3,88+3,88+3,88+3,88+3,87+3,87+3,87+3,88+3,77+3,77+3,77+3,77+3,77+3,73+3,66+3,66+3,66+3,73+3
192448,https://sofifa.com/player/192448/marc-andre-ter-stegen/20/159586,M. ter Stegen,Marc-André ter Stegen,30-04-1992,187,Germany,FC Barcelona,90,93,67500000,250000,GK,Right,Medium/Medium,Normal,Yes,143400000,,GK,,01-07-2014,2022,SUB,,,,,,,88,85,88,90,45,88,"Swerve Pass, Acrobatic Clearance, Flair Passes",18,14,11,61,14,21,18,12,63,30,38,50,37,86,43,66,79,35,78,10,43,22,11,70,25,70,25,13,10,88,85,88,88,90,,,,,,,,,,,,,,,,,,,,,,,,,,
203376,https://sofifa.com/player/203376/virgil-van-dijk/20/159586,V. van Dijk,Virgil van Dijk,08-07-1991,193,Netherlands,Liverpool,90,91,78000000,200000,CB,Right,Medium/Medium,Normal,Yes,150200000,"#Tackling , #Tactician , #Strength, #Complete Defender",LCB,,01-01-2018,2023,LCB,77,60,70,71,90,86,,,,,,,"Diver, Avoids Using Weaker Foot, Leadership, Long Passer (CPU AI Only)",53,52,86,78,45,70,60,70,81,76,74,79,61,88,53,81,90,75,92,64,82,89,47,65,62,89,91,92,85,13,10,13,11,11,69+3,69+3,69+3,67+3,69+3,69+3,69+3,67+3,69+3,69+3,69+3,69+3,74+3,74+3,74+3,69+3,79+3,83+3,83+3,83+3,79+3,81+3,87+3,87+3,87+3,81+3
177003,https://sofifa.com/player/177003/luka-modric/20/159586,L. Modrić,Luka Modrić,09-09-1985,172,Croatia,Real Madrid,90,90,45000000,340000,CM,Right,High/High,Lean,Yes,92300000,"#Dribbler, #Playmaker  , #Crosser, #Acrobat, #Complete Midfielder",RCM,,01-08-2012,2020,,74,76,89,89,72,66,,,,,,,"Argues with Officials, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite",86,72,55,92,76,87,85,78,88,92,77,71,92,89,93,79,68,85,58,82,62,82,79,91,82,92,68,76,71,13,9,7,14,9,77+3,77+3,77+3,84+3,83+3,83+3,83+3,84+3,86+3,86+3,86+3,85+3,87+3,87+3,87+3,85+3,81+3,81+3,81+3,81+3,81+3,79+3,72+3,72+3,72+3,79+3
209331,https://sofifa.com/player/209331/mohamed-salah/20/159586,M. Salah,Mohamed  Salah Ghaly,15-06-1992,175,Egypt,Liverpool,90,90,80500000,240000,"RW, ST",Left,High/Medium,PLAYER_BODY_TYPE_25,Yes,148900000,"#Speedster, #Dribbler, #Acrobat, #Clinical Finisher, #Complete Forward",RW,,01-07-2017,2023,RW,93,86,81,89,45,74,,,,,,,"Beat Offside Trap, Argues with Officials, Early Crosser, Speed Dribbler (CPU AI Only), Outside Foot Shot",79,90,59,84,79,89,83,69,75,89,94,92,91,92,88,80,69,85,73,84,63,55,92,84,77,91,38,43,41,14,14,9,11,14,84+3,84+3,84+3,88+3,88+3,88+3,88+3,88+3,87+3,87+3,87+3,87+3,81+3,81+3,81+3,87+3,70+3,67+3,67+3,67+3,70+3,66+3,57+3,57+3,57+3,66+3
